creator,date,intelligenceIndex,deltaVsPrevStep,model,slug,isOpenWeights,isReasoning
Anthropic,2023-03-14,1,,Claude Instant,claude-instant,False,False
Anthropic,2024-03-04,6.0178,5.0178,Claude 3 Opus,claude-3-opus,False,False
Anthropic,2024-10-22,6.456,0.4382,Claude 3.5 Haiku,claude-3-5-haiku,False,False
Anthropic,2025-02-24,20.5469,14.0909,Claude 3.7 Sonnet (Reasoning),claude-3-7-sonnet-thinking,False,True
Anthropic,2025-05-22,24.2779,3.731,Claude 4 Opus (Reasoning),claude-4-opus-thinking,False,True
Anthropic,2025-08-05,26.8865,2.6086,Claude 4.1 Opus (Reasoning),claude-4-1-opus-thinking,False,True
Anthropic,2025-09-29,28.9956,2.1091,Claude 4.5 Sonnet (Reasoning),claude-4-5-sonnet-thinking,False,True
Anthropic,2025-11-24,33.6055,4.6099,Claude Opus 4.5 (Reasoning),claude-opus-4-5-thinking,False,True
Anthropic,2026-02-05,36.4072,2.8017,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",claude-opus-4-6-adaptive,False,True
Anthropic,2026-02-17,38.4674,2.0602,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",claude-sonnet-4-6-adaptive,False,True
Anthropic,2026-04-16,44.2905,5.8231,"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)",claude-opus-4-7,False,True
Anthropic,2026-05-28,47.7797,3.4892,"Claude Opus 4.8 (Adaptive Reasoning, Max Effort)",claude-opus-4-8,False,True
Anthropic,2026-06-09,53.1913,5.4116,"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",claude-fable-5,False,True
Anthropic,2026-07-24,54.0539,0.8626,"Claude Opus 5 (Adaptive Reasoning, Max Effort)",claude-opus-5,False,True
Anthropic,2026-09-01,56.7581,2.7042,"Claude Fable 5.1 (Adaptive Reasoning, Max Effort, Default Fallback)",claude-fable-5-1,False,True
OpenAI,2022-11-30,1,,GPT-3.5 Turbo,gpt-35-turbo,False,False
OpenAI,2023-03-14,1.4565,0.4565,GPT-4,gpt-4,False,False
OpenAI,2023-11-06,2.2921,0.8356,GPT-4 Turbo,gpt-4-turbo,False,False
OpenAI,2024-05-13,2.9731,0.681,GPT-4o (May '24),gpt-4o-2024-05-13,False,False
OpenAI,2024-08-06,3.9049,0.9318,GPT-4o (Aug '24),gpt-4o-2024-08-06,False,False
OpenAI,2024-09-12,11.0114,7.1065,o1-preview,o1-preview,False,True
OpenAI,2024-12-05,17.1033,6.0919,o1,o1,False,True
OpenAI,2025-04-16,23.7336,6.6303,o3,o3,False,True
OpenAI,2025-06-10,25.7473,2.0137,o3-pro,o3-pro,False,True
OpenAI,2025-08-07,27.0852,1.3379,GPT-5 (high),gpt-5,False,True
OpenAI,2025-09-23,29.1745,2.0893,GPT-5 Codex (high),gpt-5-codex,False,True
OpenAI,2025-12-11,34.9528,5.7783,GPT-5.2 (xhigh),gpt-5-2,False,True
OpenAI,2026-02-05,36.9388,1.986,GPT-5.3 Codex (xhigh),gpt-5-3-codex,False,True
OpenAI,2026-03-05,42.8257,5.8869,GPT-5.4 (xhigh),gpt-5-4,False,True
OpenAI,2026-04-23,45.6173,2.7916,GPT-5.5 (xhigh),gpt-5-5,False,True
OpenAI,2026-07-09,51.2552,5.6379,GPT-5.6 Sol (max),gpt-5-6-sol,False,True
OpenAI,2026-09-03,54.6573,3.4021,GPT-6 Astra (max),gpt-6-astra,False,True
Meta,2023-02-24,1,,Llama 65B,llama-65b,True,False
Meta,2024-07-23,2.8743,1.8743,Llama 3.1 Instruct 405B,llama-3-1-instruct-405b,True,False
Meta,2024-12-06,3.7343,0.86,Llama 3.3 Instruct 70B,llama-3-3-instruct-70b,True,False
Meta,2025-04-05,8.5105,4.7762,Llama 4 Maverick,llama-4-maverick,True,False
Meta,2026-04-08,35.7838,27.2733,Muse Spark,muse-spark,False,True
Meta,2026-07-09,41.1636,5.3798,Muse Spark 1.1 (xhigh),muse-spark-1-1,False,True
Meta,2026-08-05,46.8372,5.6736,Muse Spark 1.2 (xhigh),muse-spark-1-2,False,True
Meta,2026-09-02,52.9531,6.1159,Muse Spark 1.3 (max),muse-spark-1-3,False,True
SpaceXAI,2024-03-17,1,,Grok-1,grok-1,True,False
SpaceXAI,2024-08-13,1.9152,0.9152,Grok Beta,grok-beta,False,False
SpaceXAI,2024-12-12,2.4405,0.5253,Grok 2 (Dec '24),grok-2-1212,True,False
SpaceXAI,2025-02-19,16.2074,13.7669,Grok 3 mini Reasoning (high),grok-3-mini-reasoning,False,True
SpaceXAI,2025-07-10,26.4695,10.2621,Grok 4,grok-4,False,True
SpaceXAI,2026-03-10,29.5405,3.071,Grok 4.20 0309 (Reasoning),grok-4-20-0309,False,True
SpaceXAI,2026-04-07,30.0167,0.4762,Grok 4.20 0309 v2 (Reasoning),grok-4-20,False,True
SpaceXAI,2026-06-16,31.6733,1.6566,Grok Build 0.1 0616,grok-build-0-1-06-16,False,True
SpaceXAI,2026-07-08,45.4782,13.8049,Grok 4.5 (high),grok-4-5,False,True
SpaceXAI,2026-08-12,50.5768,5.0986,Grok 4.6 (high),grok-4-6,False,True
Kimi,2025-07-11,13.2534,,Kimi K2,kimi-k2,True,False
Kimi,2025-09-05,17.195,3.9416,Kimi K2 0905,kimi-k2-0905,True,False
Kimi,2025-11-06,25.9241,8.7291,Kimi K2 Thinking,kimi-k2-thinking,True,True
Kimi,2026-01-27,27.6344,1.7103,Kimi K2.5 (Reasoning),kimi-k2-5,True,True
Kimi,2026-04-20,35.8473,8.2129,Kimi K2.6,kimi-k2-6,True,True
Kimi,2026-07-16,50.2337,14.3864,Kimi K3 (max),kimi-k3,True,True
Z AI,2025-07-28,13.3383,,GLM-4.5 (Reasoning),glm-4.5,True,True
Z AI,2025-09-30,21.6526,8.3143,GLM-4.6 (Reasoning),glm-4-6-reasoning,True,True
Z AI,2025-12-22,26.2291,4.5765,GLM-4.7 (Reasoning),glm-4-7,True,True
Z AI,2026-02-11,32.3976,6.1685,GLM-5 (Reasoning),glm-5,True,True
Z AI,2026-06-16,42.0812,9.6836,GLM-5.2 (max),glm-5-2,True,True
Z AI,2026-08-18,48.584,6.5028,GLM-5.3 (max),glm-5-3,True,True
Google,2023-05-10,1,,PALM-2,palm-2,False,False
Google,2024-09-24,4.2736,3.2736,Gemini 1.5 Pro (Sep '24),gemini-1-5-pro,False,False
Google,2024-12-11,4.9522,0.6786,Gemini 2.0 Flash (experimental),gemini-2-0-flash-experimental,False,False
Google,2025-01-21,7.4115,2.4593,Gemini 2.0 Flash Thinking Experimental (Jan '25),gemini-2-0-flash-thinking-exp-0121,False,True
Google,2025-03-25,16.7093,9.2978,Gemini 2.5 Pro Preview (Mar' 25),gemini-2-5-pro-03-25,False,True
Google,2025-06-05,18.9744,2.2651,Gemini 2.5 Pro,gemini-2-5-pro,False,True
Google,2025-11-18,32.4459,13.4715,Gemini 3 Pro Preview (high),gemini-3-pro,False,True
Google,2026-02-19,36.6542,4.2083,Gemini 3.1 Pro Preview,gemini-3-1-pro-preview,False,True
Google,2026-05-19,39.7284,3.0742,Gemini 3.5 Flash (high),gemini-3-5-flash,False,True
Google,2026-07-21,40.287,0.5586,Gemini 3.6 Flash (high),gemini-3-6-flash,False,True
Google,2026-08-13,45.242,4.955,Gemini 3.7 Flash (high),gemini-3-7-flash,False,True
Google,2026-09-02,47.0713,1.8293,Gemini 3.8 Flash (high),gemini-3-8-flash,False,True
Alibaba,2023-09-25,1,,Qwen Chat 14B,qwen-chat-14b,True,False
Alibaba,2024-09-19,3.8942,2.8942,Qwen2.5 Instruct 72B,qwen2-5-72b-instruct,True,False
Alibaba,2025-01-28,4.5247,0.6305,Qwen2.5 Max,qwen-2-5-max,False,False
Alibaba,2025-03-05,7.517,2.9923,QwQ 32B,qwq-32b,True,True
Alibaba,2025-04-28,7.5708,0.0538,Qwen3 235B A22B (Reasoning),qwen3-235b-a22b-instruct-reasoning,True,True
Alibaba,2025-07-21,12.0703,4.4995,Qwen3 235B A22B 2507 Instruct,qwen3-235b-a22b-instruct-2507,True,False
Alibaba,2025-07-25,13.1324,1.0621,Qwen3 235B A22B 2507 (Reasoning),qwen3-235b-a22b-instruct-2507-reasoning,True,True
Alibaba,2025-09-23,17.6495,4.5171,Qwen3 Max,qwen3-max,False,False
Alibaba,2025-11-03,18.6121,0.9626,Qwen3 Max Thinking (Preview),qwen3-max-thinking-preview,False,True
Alibaba,2026-01-26,25.0159,6.4038,Qwen3 Max Thinking,qwen3-max-thinking,False,True
Alibaba,2026-02-16,26.1483,1.1324,Qwen3.5 397B A17B (Reasoning),qwen3-5-397b-a17b,True,True
Alibaba,2026-02-24,26.9465,0.7982,Qwen3.5 27B (Reasoning),qwen3-5-27b,True,True
Alibaba,2026-04-02,31.5039,4.5574,Qwen3.6 Plus,qwen3-6-plus,False,True
Alibaba,2026-04-20,32.8738,1.3699,Qwen3.6 Max Preview,qwen3-6-max,False,True
Alibaba,2026-05-19,36.616,3.7422,Qwen3.7 Max,qwen3-7-max,False,True
Alibaba,2026-08-03,46.9057,10.2897,Qwen3.8 Max,qwen3-8-max,False,True
DeepSeek,2023-11-29,1,,DeepSeek LLM 67B Chat (V1),deepseek-llm-67b-chat,True,False
DeepSeek,2024-09-06,1.0834,0.0834,DeepSeek-V2.5,deepseek-v2-5-sep-2024,True,False
DeepSeek,2024-12-10,1.2454,0.162,DeepSeek-V2.5 (Dec '24),deepseek-v2-5,True,False
DeepSeek,2024-12-26,8.2728,7.0274,DeepSeek V3 (Dec '24),deepseek-v3,True,False
DeepSeek,2025-01-20,12.0136,3.7408,DeepSeek R1 (Jan '25),deepseek-r1-0120,True,True
DeepSeek,2025-05-28,13.9049,1.8913,DeepSeek R1 0528 (May '25),deepseek-r1,True,True
DeepSeek,2025-08-21,14.8225,0.9176,DeepSeek V3.1 (Non-reasoning),deepseek-v3-1,True,False
DeepSeek,2025-09-22,23.4574,8.6349,DeepSeek V3.1 Terminus (Reasoning),deepseek-v3-1-terminus-reasoning,True,True
DeepSeek,2025-12-01,25.2929,1.8355,DeepSeek V3.2 (Reasoning),deepseek-v3-2-reasoning,True,True
DeepSeek,2026-04-24,34.6476,9.3547,"DeepSeek V4 Pro (Reasoning, High Effort)",deepseek-v4-pro-0424-high,True,True
DeepSeek,2026-07-31,40.8391,6.1915,"DeepSeek V4 Flash 0731 (Reasoning, Max Effort)",deepseek-v4-flash,True,True
DeepSeek,2026-08-13,42.1133,1.2742,"DeepSeek V4 Pro 0813 (Reasoning, Max Effort)",deepseek-v4-pro,True,True
Sapiens AI,2026-07-24,31.2482,,Agnes 2.5 Pro Alpha,agnes-2-5-pro-alpha,True,True
Sapiens AI,2026-08-26,39.5093,8.2611,Agnes 2.5 Pro Beta,agnes-2-5-pro-beta,False,True
Motif Technologies,2025-12-04,6.9563,,Motif-2-12.7B-Reasoning,motif-2-12-7b,False,True
Motif Technologies,2026-07-14,36.7598,29.8035,Motif 3 (Beta),motif-0714,False,True
Motif Technologies,2026-08-12,37.9805,1.2207,Motif 3,motif-3,True,True
MBZUAI Institute of Foundation Models,2025-12-05,8.2899,,K2-V2 (high),k2-v2,True,True
MBZUAI Institute of Foundation Models,2025-12-15,11.2183,2.9284,K2 Think V2,k2-think-v2,True,True
MBZUAI Institute of Foundation Models,2026-09-03,37.7507,26.5324,K2 Horizon 375B A23B,k2-horizon-375b-a23b,True,True
MiniMax,2025-06-17,11.6113,,MiniMax M1 80k,minimax-m1-80k,True,True
MiniMax,2025-10-26,21.7452,10.1339,MiniMax-M2,minimax-m2,True,True
MiniMax,2025-12-23,24.6429,2.8977,MiniMax-M2.1,minimax-m2-1,True,True
MiniMax,2026-02-12,26.8283,2.1854,MiniMax-M2.5,minimax-m2-5,True,True
MiniMax,2026-03-18,30.0578,3.2295,MiniMax-M2.7,minimax-m2-7,True,True
MiniMax,2026-06-01,35.7477,5.6899,MiniMax-M3,minimax-m3,True,True
Multiverse Computing,2026-05-26,11.6603,,"HyperNova 60B 2605 (high, based on gpt-oss-120b)",hypernova-60b,True,True
Multiverse Computing,2026-08-10,34.2182,22.5579,"Quasar 438B (max, based on GLM-5.2)",quasar-438b,False,True
Xiaomi,2025-12-16,26.416,,MiMo-V2-Flash (Feb 2026),mimo-v2-0206,True,True
Xiaomi,2026-03-18,33.1485,6.7325,MiMo-V2-Pro,mimo-v2-pro,False,True
Upstage,2024-01-25,1,,Solar Mini,solar-mini,True,False
Upstage,2025-05-20,6.7215,5.7215,Solar Pro 2 (Preview) (Reasoning),solar-pro-2-preview-reasoning,False,True
Upstage,2025-12-17,9.2062,2.4847,Solar Open 100B (Reasoning),solar-open-100b-reasoning,True,True
Upstage,2026-08-06,32.6981,23.4919,Solar Pro 4,solar-pro4,False,True
Tencent,2026-04-23,26.7585,,Hy3-preview (Reasoning),hy3-preview,True,True
Tencent,2026-07-06,32.4074,5.6489,Hy3,hy3,True,True
Thinking Machines,2026-07-15,32.1665,,Inkling (xhigh),inkling,True,True
Thinking Machines,2026-07-30,32.2275,0.061,Inkling Small,inkling-small,True,True
China Mobile,2026-04-15,12.4283,,JT-MINI,jt-mini,False,False
China Mobile,2026-05-14,21.793,9.3647,JT-35B-Flash,jt-35b-flash,False,False
China Mobile,2026-07-09,31.7557,9.9627,JT-4.1 Flash 236B A21B,jt-4-1-flash-236b-a21b,False,False
NVIDIA,2024-10-15,2.0517,,Llama 3.1 Nemotron Instruct 70B,llama-3-1-nemotron-instruct-70b,True,False
NVIDIA,2025-03-18,6.4454,4.3937,Llama 3.3 Nemotron Super 49B v1 (Reasoning),llama-3-3-nemotron-super-49b-reasoning,True,True
NVIDIA,2025-07-25,6.6096,0.1642,Llama Nemotron Super 49B v1.5 (Reasoning),llama-nemotron-super-49b-v1-5-reasoning,True,True
NVIDIA,2025-12-15,8.5668,1.9572,NVIDIA Nemotron 3 Nano 30B A3B (Reasoning),nvidia-nemotron-3-nano-30b-a3b-reasoning,True,True
NVIDIA,2026-03-11,18.6402,10.0734,Nemotron 3 Super 120B A12B (Reasoning),nvidia-nemotron-3-super-120b-a12b,True,True
NVIDIA,2026-06-04,29.3345,10.6943,Nemotron 3 Ultra 550B A55B (Reasoning),nvidia-nemotron-3-ultra-550b-a55b,True,True
InclusionAI,2025-09-09,1,,Ling-mini-2.0,ling-mini-2-0,True,False
InclusionAI,2025-09-17,4.0562,3.0562,Ling-flash-2.0,ling-flash-2-0,True,False
InclusionAI,2025-10-08,6.9256,2.8694,Ling-1T,ling-1t,True,False
InclusionAI,2025-10-13,10.1708,3.2452,Ring-1T,ring-1t,True,True
InclusionAI,2026-04-23,19.5899,9.4191,Ling-2.6-1T,ling-2-6-1t,True,False
InclusionAI,2026-05-08,23.7362,4.1463,Ring-2.6-1T,ring-2-6-1t,True,True
